,Unnamed: 0,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),TOTAL SCHOOLS (PREP),TOTAL STUDENTS (PRESTD),TOTAL  TEACHERS: MALE  (PMTCH),TOTAL  TEACHERS: FEMALE  (PFTCH),BLIND (BLC1),LOW VISION (LVC1),HEARING IMPAIRMENT (HEC1),SPEECH IMPAIRMENT (SPC1),LOCOMOTOR IMPAIRMENT (LOC1),MENTAL RETARDATION (MEC1),LEARNING DISABILITY (LEC1),CEREBRAL PALSY (CPC1),AUTISM (AUC1),MULTIPLE (MUC1)
41,41,2015-16,PUNJAB,FATEHGARH SAHIB,599814.0,11.39,871.0,80.33,75.53,84.5,1180.0,147,14809,58,183,3,2179,188,332,161,534,0,57,10,152
42,42,2015-16,PUNJAB,LUDHIANA,3487882.0,15.0,869.0,82.54,78.16,86.3,3578.0,940,99003,2962,20054,130,4671,359,825,568,865,71,113,17,181
43,43,2015-16,PUNJAB,MOGA,992289.0,10.9,893.0,71.59,67.41,75.3,2242.0,201,18395,491,2590,4,1547,202,344,351,696,445,103,2,98
44,44,2015-16,PUNJAB,FIROZPUR,2026831.0,16.08,893.0,69.85,62.24,76.7,5305.0,196,19038,794,3100,14,1005,268,345,321,1015,1435,102,10,253
45,45,2015-16,PUNJAB,MUKTSAR,902702.0,16.1,895.0,66.79,60.03,72.9,2593.0,185,18702,736,2755,8,922,100,150,261,560,2,67,1,105
46,46,2015-16,PUNJAB,FARIDKOT,618008.0,12.18,889.0,70.65,64.82,75.9,1458.0,116,10705,400,1941,22,486,111,251,164,559,668,48,1,59
47,47,2015-16,PUNJAB,BATHINDA,1388859.0,17.37,865.0,69.57,62.92,75.3,3353.0,254,22904,804,4655,21,2021,276,519,324,1220,1317,175,19,106
48,48,2015-16,PUNJAB,MANSA,768808.0,11.62,880.0,62.78,56.41,68.4,2198.0,138,11033,545,1791,10,438,153,138,434,611,455,54,4,66
49,49,2015-16,PUNJAB,SANGRUR,1654408.0,12.3,883.0,68.88,62.86,74.2,3625.0,402,34539,1829,6156,21,895,299,562,691,1261,203,104,11,242
50,50,2015-16,PUNJAB,PATIALA,1892282.0,19.4,888.0,76.26,70.47,81.4,3325.0,577,46774,1626,9046,60,1467,488,556,569,1867,553,166,14,371
51,51,2015-16,PUNJAB,MOHALI,986147.0,32.02,878.0,84.87,80.01,89.2,1094.0,331,32029,479,5324,6,1216,94,177,151,749,181,62,20,182
52,52,2015-16,PUNJAB,TARAN TARAN,1120070.0,19.28,898.0,69.43,62.88,75.4,2414.0,281,24269,888,4136,71,729,147,200,450,1126,284,61,17,146
53,53,2015-16,PUNJAB,BARNALA,596294.0,13.16,876.0,68.9,64.14,73.1,1482.0,146,10696,494,2352,13,71,98,123,183,289,126,68,4,107
