,STATE NAME,DISTRICT NAME,TOTAL POULATION,GROWTH RATE,SEX RATIO,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM)
80,HARYANA,SIRSA,1295114.0,15.98,896.0,70.35,61.16,78.64,4277.0
81,HARYANA,HISAR,1742815.0,13.38,871.0,73.24,62.31,82.79,3983.0
82,HARYANA,BHIWANI,1629109.0,14.32,884.0,76.74,64.8,87.39,4778.0
83,HARYANA,ROHTAK,1058683.0,12.61,868.0,80.37,71.19,88.42,1745.0
84,HARYANA,JHAJJAR,956907.0,8.73,861.0,80.83,70.96,89.44,1834.0
85,HARYANA,MAHENDRAGARH,921680.0,13.43,894.0,78.87,65.25,91.28,1899.0
86,HARYANA,REWARI,896129.0,17.09,898.0,82.23,70.54,92.92,1594.0
87,HARYANA,GURGAON,1514085.0,73.93,853.0,84.44,77.64,90.27,1258.0
88,HARYANA,FARIDABAD,1798954.0,31.75,871.0,83.04,75.17,89.94,741.0
89,HARYANA,MEWAT,1089406.0,37.94,906.0,56.14,37.58,72.98,1507.0
90,HARYANA,PALWAL,1040493.0,25.49,879.0,70.32,56.4,82.6,1359.0
91,DELHI,NORTH WEST DELHI,3651261.0,27.63,862.0,84.66,78.76,89.74,443.0
92,DELHI,NORTH DELHI,883418.0,13.04,871.0,86.81,81.92,91.06,61.0
93,DELHI,NORTH EAST DELHI,2240749.0,26.73,886.0,82.8,76.51,88.39,62.0
94,DELHI,EAST DELHI,1707725.0,16.68,883.0,88.75,84.55,92.47,63.0
95,DELHI,NEW DELHI,133713.0,-25.35,811.0,89.38,84.83,93.04,35.0
96,DELHI,CENTRAL DELHI,578671.0,-10.48,892.0,85.25,82.6,87.6,21.0
97,DELHI,WEST DELHI,2531583.0,18.91,876.0,87.12,82.5,91.17,130.0
98,DELHI,SOUTH WEST DELHI,2292363.0,30.62,836.0,88.81,83.07,93.62,421.0
99,DELHI,SOUTH DELHI,2733752.0,20.59,859.0,87.03,80.99,92.2,247.0
100,RAJASTHAN,GANGANAGAR,1969520.0,10.06,887.0,70.25,60.07,79.33,10978.0
101,RAJASTHAN,HANUMANGARH,1779650.0,17.24,906.0,68.37,56.91,78.82,9656.0
102,RAJASTHAN,BIKANER,2367745.0,41.42,903.0,65.92,53.77,76.9,30239.0
103,RAJASTHAN,CHURU,2041172.0,6.1,938.0,67.46,54.25,79.95,13835.0
104,RAJASTHAN,JHUNJHUNUN,2139658.0,11.81,950.0,74.72,61.15,87.88,5928.0
105,RAJASTHAN,ALWAR,3671999.0,22.7,894.0,71.68,56.78,85.08,8380.0
106,RAJASTHAN,BHARATPUR,2549121.0,21.32,877.0,71.16,54.63,85.7,5066.0
107,RAJASTHAN,DHAULPUR,1207293.0,22.78,845.0,70.14,55.45,82.53,3033.0
108,RAJASTHAN,KARAULI,1458459.0,20.57,858.0,67.34,49.18,82.96,5524.0
109,RAJASTHAN,SAWAI MADHOPUR,1338114.0,19.79,894.0,66.19,47.8,82.72,4498.0
110,RAJASTHAN,Dausa,1637226.0,24.31,904.0,69.17,52.33,84.54,3432.0
111,RAJASTHAN,JAIPUR,6663971.0,26.91,909.0,76.44,64.63,87.27,11143.0
112,RAJASTHAN,SIKAR,2677737.0,17.04,944.0,72.98,58.76,86.66,7732.0
113,RAJASTHAN,NAGAUR,3309234.0,19.25,948.0,64.08,48.63,78.9,17718.0
114,RAJASTHAN,JODHPUR,3685681.0,27.69,915.0,67.09,52.57,80.46,22850.0
115,RAJASTHAN,JAISALMER,672008.0,32.22,849.0,58.04,40.23,73.09,38401.0
116,RAJASTHAN,BARMER,2604453.0,32.55,900.0,57.49,41.03,72.32,28387.0
117,RAJASTHAN,JALOR,1830151.0,26.31,951.0,55.58,38.73,71.83,10640.0
118,RAJASTHAN,SIROHI,1037185.0,21.86,938.0,56.02,40.12,71.09,5136.0
119,RAJASTHAN,PALI,2038533.0,11.99,987.0,63.23,48.35,78.16,12387.0
120,RAJASTHAN,AJMER,2584913.0,18.48,950.0,70.46,56.42,83.93,8481.0
121,RAJASTHAN,TONK,1421711.0,17.33,949.0,62.46,46.01,78.27,7194.0
122,RAJASTHAN,BUNDI,1113725.0,15.7,922.0,62.31,47.0,76.52,5776.0
123,RAJASTHAN,BHILWARA,2410459.0,19.7,969.0,62.71,47.93,77.16,10455.0
124,RAJASTHAN,RAJSAMAND,1158283.0,17.35,988.0,63.93,48.44,79.52,4655.0
125,RAJASTHAN,UDAIPUR,3067549.0,23.66,958.0,62.74,49.1,75.91,11724.0
126,RAJASTHAN,DUNGARPUR,1388906.0,25.39,990.0,60.78,46.98,74.66,3770.0
127,RAJASTHAN,BANSWARA,1798194.0,26.58,979.0,57.2,43.47,70.8,4522.0
128,RAJASTHAN,CHITTAURGARH,1544392.0,16.09,970.0,62.51,46.98,77.74,7822.0
129,RAJASTHAN,KOTA,1950491.0,24.35,906.0,77.48,66.32,87.63,5217.0
130,RAJASTHAN,BARAN,1223921.0,19.8,926.0,67.38,52.48,81.23,6992.0
131,RAJASTHAN,JHALAWAR,1411327.0,19.57,945.0,62.13,47.06,76.47,6219.0
132,RAJASTHAN,PRATAPGARH (RAJ,868231.0,22.84,982.0,56.3,42.4,70.13,4449.0
133,UTTAR PRADESH,SAHARANPUR,3464228.0,19.59,887.0,72.03,63.3,79.77,3689.0
134,UTTAR PRADESH,MUZAFFARNAGAR,4138605.0,16.8,886.0,70.11,60.0,79.11,4008.0
135,UTTAR PRADESH,BIJNOR,3683896.0,17.64,913.0,70.43,61.45,78.7,4561.0
136,UTTAR PRADESH,MORADABAD,4773138.0,25.25,903.0,58.67,49.63,66.83,3718.0
137,UTTAR PRADESH,RAMPUR,2335398.0,21.4,905.0,55.08,46.19,63.1,2367.0
138,UTTAR PRADESH,JYOTIBA PHULE NAGAR,1838771.0,22.66,907.0,65.7,53.77,76.53,2249.0
139,UTTAR PRADESH,MEERUT,3447405.0,15.01,885.0,74.8,65.69,82.91,2559.0
140,UTTAR PRADESH,BAGHPAT,1302156.0,11.87,858.0,73.54,61.22,84.17,1321.0
141,UTTAR PRADESH,GHAZIABAD,4661452.0,41.66,878.0,85.0,81.42,88.16,1179.0
142,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,1674714.0,39.32,852.0,82.2,72.78,90.23,1282.0
143,UTTAR PRADESH,BULANDSHAHR,3498507.0,20.09,892.0,70.23,56.6,82.52,4512.0
144,UTTAR PRADESH,ALIGARH,3673849.0,22.78,876.0,69.61,57.48,80.24,3650.0
145,UTTAR PRADESH,HATHRAS,1565678.0,17.19,870.0,73.1,60.79,83.83,1840.0
146,UTTAR PRADESH,MATHURA,2541894.0,22.53,858.0,72.65,58.93,84.39,3340.0
147,UTTAR PRADESH,AGRA,4380793.0,21.0,859.0,69.44,59.16,78.32,4041.0
148,UTTAR PRADESH,FIROZABAD,2496761.0,21.62,867.0,74.6,64.8,83.08,2407.0
149,UTTAR PRADESH,ETAH,1761152.0,12.77,863.0,73.27,61.72,83.21,2431.0
150,UTTAR PRADESH,MAINPURI,1847194.0,15.69,876.0,78.26,68.35,86.93,2760.0
151,UTTAR PRADESH,BUDAUN,3712738.0,20.96,859.0,52.91,41.76,62.39,5168.0
152,UTTAR PRADESH,BAREILLY,4465344.0,23.4,883.0,60.52,50.35,69.47,4120.0
153,UTTAR PRADESH,PILIBHIT,2037225.0,23.83,889.0,63.58,52.43,73.46,3686.0
